"TOA5","Snow Weather","CR1000","86158","CR1000.Std.31.03","CPU:SnowCollege.CR1","60318","FifteenMin"
"TIMESTAMP","RECORD","AirTF_Avg","RH_Avg","WindGust","AveWindSp","WindDir","WindDir_SD","BP_inHg","SlrkW","HeatedPrecip_Tot","HeatedRunTot","Rain_Tot","RainRunTot"
"TS","RN","Deg F","%","mph","mph","degrees","Deg","inHg","kW/m^2","inch","inch","inch","inch"
"","","Avg","Avg","Max","WVc","WVc","WVc","Smp","Smp","Tot","Smp","Tot","Smp"
"2026-06-17 19:15:00",247043,90.15995,13.01915,18.19,7.359524,309.5029,28.72309,29.89,0.225,0,0,0,0
"2026-06-17 19:30:00",247044,88.75624,15.25684,14.47,6.066965,325.3391,23.97523,29.89,0.19,0,0,0,0
"2026-06-17 19:45:00",247045,88.14018,15.6068,12.49,5.467087,326.6893,24.7749,29.89,0.149,0,0,0,0
"2026-06-17 20:00:00",247046,86.96049,16.18015,13.15,5.353595,317.0104,26.04576,29.89,0.109,0,0,0,0
"2026-06-17 20:15:00",247047,86.25069,17.12617,8.33,3.4882,321.3546,24.67401,29.9,0.072,0,0,0,0
"2026-06-17 20:30:00",247048,83.05626,21.53491,7.234,2.782377,329.2174,23.38831,29.9,0.04,0,0,0,0
"2026-06-17 20:45:00",247049,80.44788,23.83864,5.261,1.060439,342.8249,25.09295,29.9,0.007,0,0,0,0
"2026-06-17 21:00:00",247050,77.81693,24.96194,2.85,0.4252473,20.52795,17.71603,29.91,0.002,0,0,0,0
"2026-06-17 21:15:00",247051,76.86941,23.91607,5.042,1.502491,32.42428,22.5393,29.91,0,0,0,0,0
"2026-06-17 21:30:00",247052,77.91216,21.91332,10.52,5.153637,47.93325,14.39605,29.91,0,0,0,0,0
"2026-06-17 21:45:00",247053,78.83334,21.0476,10.08,4.469489,50.95485,19.16105,29.91,0,0,0,0,0
"2026-06-17 22:00:00",247054,78.57918,20.82021,7.234,1.95526,64.65633,35.43935,29.92,0,0,0,0,0
"2026-06-17 22:15:00",247055,76.34286,22.92764,3.946,0.7343196,135.7889,8.589803,29.92,0,0,0,0,0
"2026-06-17 22:30:00",247056,74.33313,25.37225,1.534,0.2172513,249.2377,8.73824,29.93,0,0,0,0,0
